股票代码,企业名称,数字技术应用,人工智能技术,区块链技术,大数据技术,云计算技术,总词频数,数字化转型指数
837891,"

浙江伏尔特医疗器械股份有限公司",0,0,0,0,0,0,-0.220801475
838558,"

盘锦海兴科技股份有限公司",4,0,0,0,0,4,1.104312242
870292,"

舟山海山机械密封材料股份有限公司",0,0,0,0,0,0,-0.220801475
836949,"

武汉源启科技股份有限公司",0,6,0,0,0,6,-0.145699757
839786,"

深圳源明杰科技股份有限公司",1,0,0,0,0,1,-0.220801475
838811,"

瀚正信息科技股份有限公司",0,3,0,1,0,4,-0.220801475
836967,"

宁波爱去欧净水科技股份有限公司",0,0,0,0,0,0,-0.220801475
834707,"

武汉爱迪科技股份有限公司",0,14,0,0,0,14,-0.220801475
833675,"

河南环宇玻璃科技股份有限公司",0,0,0,0,0,0,-0.220801475
839180,"

深圳瑞福来智能科技股份有限公司",4,0,0,0,0,4,-0.145363215
839224,"

福建田中机械科技股份有限公司",0,0,0,0,0,0,-0.220801475
835391,浙江百事宝电器股份有限公司,0,0,0,0,0,0,0.004503679
839589,山西百澳智能玻璃股份有限公司,0,0,0,0,0,0,-0.20194191
839205,"

许昌豫盛昌电气股份有限公司",0,0,0,0,0,0,0.058182708
833682,"

福建福特科光电股份有限公司",0,13,0,3,0,16,-0.220801475
835792,"

四川科力特硬质合金股份有限公司",0,0,0,0,0,0,0.304910551
834062,"

科润智能控制股份有限公司",0,1,0,1,0,2,-0.220801475
836679,"

科睿特软件集团股 份有限公司",0,12,0,6,0,18,-0.145363215
836560,"

山西科腾环保新材料股份有限公司",0,0,0,0,0,0,-0.220801475
833707,"

宁波精华电子科技股份有限公司",0,0,0,0,0,0,-0.220801475
835773,"

烟台东方纵横科技股份有限公司",0,1,0,0,0,1,-0.220801475
838172,"

山东芯诺电子科技股份有限公司",0,5,0,0,0,5,-0.220801475
837664,"

重庆荆江汽车半轴股份有限公司",0,0,0,0,0,0,0.766354511
870637,"

兰州裕隆气体股份有限公司",0,0,0,0,0,0,-0.220801475
835680,"

西部宝德科技股份有限公司",0,0,0,0,0,0,-0.01691901
839187,漳州视瑞特光电科技股份有限公司,2,2,0,0,0,4,1.227798471
837393,"

浙江诺和机电股份有限公司",1,0,0,0,0,1,-0.220801475
838878,"

深圳市诺安智能股份有限公司",1,2,0,0,0,3,-0.220801475
834399,"

广东贝源检测技术股份有限公司",0,0,0,0,0,0,-0.183250616
835185,"

贝特瑞新材料集团股份有限公司",0,0,0,0,0,0,-0.03304718
838486,"

广州远正智能科技股份有限公司",0,5,0,0,0,5,-0.220801475
837455,广东邦盛北斗科技股份公司,0,2,0,0,0,2,-0.220801475
838213,"

佛山金万达科技股份有限公司",0,0,0,0,0,0,-0.220801475
838939,"

东莞金坤新材料股份有限公司",1,0,0,0,0,1,-0.107980627
870014,"

芜湖金牛电气股份有限公司",0,0,0,0,0,0,-0.20194191
835492,"

天津铸金科技开发股份有限公司",0,0,0,1,0,1,-0.126840192
839894,"

浙江长城搅拌设备股份有限公司",0,0,0,1,0,1,-0.220801475
600839,四川长虹新能源科技股份有限公司,3,0,0,0,0,3,-0.220801475
833700,"

浙江阿斯克建材科技股份有限公司",0,0,0,0,0,0,-0.03304718
836861,"

鞍山发蓝股份公司",0,0,0,0,0,0,-0.145699757
838426,"

浙江飞鲸新材料科技股份有限公司",0,0,0,0,0,0,-0.220801475
834407,"

驰诚股份

河南驰诚电气股份有限公司",4,4,0,0,0,8,-0.20194191
839587,"

浙江鼎泰药业股份有限公司",0,0,0,0,0,0,-0.220801475
